iter	RMSE
420	31.79309614
421	31.76882089
422	31.75364515
423	31.71804819
424	31.696088
425	31.66760918
426	31.64834185
427	31.63290096
428	31.61391252
429	31.5977726
430	31.57620362
431	31.55984187
432	31.54776428
433	31.53221101
434	31.50302089
435	31.48391203
436	31.45054483
437	31.42263119
438	31.40088968
439	31.38237057
440	31.35928202
441	31.34015305
442	31.31656645
443	31.29055486
444	31.27221125
445	31.24914238
446	31.20835053
447	31.18256572
448	31.15431393
449	31.13639498
450	31.10862499
451	31.08551634
452	31.05691494
453	31.03196472
454	31.00834416
455	30.99050351
456	30.96078036
457	30.93992699
458	30.91508374
459	30.88614471
460	30.86725025
461	30.84494037
462	30.82358124
463	30.81604026
464	30.78922479
465	30.7536724
466	30.73263334
467	30.71291104
468	30.68610361
469	30.6802429
470	30.65944641
471	30.62227466
472	30.60140595
473	30.5703495
474	30.55086135
475	30.53215613
476	30.52054825
477	30.50314772
478	30.48267294
479	30.44411096
480	30.41843188
481	30.39069568
482	30.37672195
483	30.35075061
484	30.32854019
485	30.30957068
486	30.29118947
487	30.27313225
488	30.24338858
489	30.21897221
490	30.20003514
491	30.17736803
492	30.15202161
493	30.12086504
494	30.10398945
495	30.08069863
496	30.06515805
497	30.04654643
498	30.03644527
499	30.01863178
